Date,Latitude,Longitude,Location,Notes,Traditional Name
1768/8/8, None , None,Plymouth,,
1768/8/26,49.5,-5.867,,,
1768/8/27,48.7,-6.817,,,
1768/8/28,47.267,-9.117,,,
1768/8/29,46.633,-9.483,,,
1768/8/30,46.15,-9.867,,,
1768/8/31,45.05,-8.717,,,
1768/9/1,44.933,-9.15,,,
1768/9/2,43.883,-9.433,,,
1768/9/3,44.15,-10.333,,,
1768/9/4, None , None,,,
1768/9/5, None , None,,,
1768/9/6,42.017,-9.833,,,
1768/9/7,40.483,-10.183,,,
1768/9/8, None , None,,,
1768/9/9,37.067,-11.55,,,
1768/9/10,35.333,-13.467,,,
1768/9/11,34.017,-14.483,,,
1768/9/12,32.717,-15.883,,,
1768/9/13, None , None,,,
1768/9/15, None , None,,,
1768/9/16, None , None,,,
1768/9/17, None , None,,,
1768/9/18, None , None,,,
1768/9/19, None , None,,,
1768/9/20,-31.283,-17.317,,,
1768/9/21,30.767,-16.133,,,
1768/9/22,29.667,-15.517,,,
1768/9/23,28.85,-15.833,,,
1768/9/24,28.267,-16.633,,,
1768/9/25, None , None,,,
1768/9/26, None , None,,,
1768/9/27, None , None,,,
1768/9/28, None , None,,,
1768/9/29, None , None,,,
1768/9/30, None , None,,,
1768/10/1,14.1,-22.167,,,
1768/10/2,12.567,-22.167,,,
1768/10/3,12.233,-22.167,,,
1768/10/4,11.883,-22.55,,,
1768/10/5,10.933,-22.05,,,
1768/10/6,9.667,-22.467,,,
1768/10/7,9.7,-22.317,,,
1768/10/8,8.417,-22.067,,,
1768/10/9,7.967,-22.217,,,
1768/10/10,7.8,-22.217,,,
1768/10/11,7.6,-22.133,,,
1768/10/12,7.35,-22.65,,,
1768/10/13,7.017,-22.533,,,
1768/10/14,6.633,-22.5,,,
1768/10/15,6.833,-22.383,,,
1768/10/16,5.633,-23.75,,,
1768/10/17,5.283,-23.783,,,
1768/10/18,4.783,-24.383,,,
1768/10/19,3.733,-25.383,,,
1768/10/20,3.267,-26.333,,,
1768/10/21,2.767,-27.183,,,
1768/10/22, None , None,,,
1768/10/23, None , None,,,
1768/10/24, None , None,,,
1768/10/25,-0.25,-29.5,,,
1768/10/26, None , None,,,
1768/10/27,-2.383,-31.117,,,
1768/10/28,-3.683,-32.483,,,
1768/10/29, None , None,,,
1768/10/30,-7.133,-33.067,,,
1768/10/31,-9.017,-33.267,,,
1768/11/1, None , None,,,
1768/11/2,-12.8,-32.333,,,
1768/11/3,-14.85,-33.117,,,
1768/11/4,-16.817,-33.617,,,
1768/11/5,-18.367,-34.833,,,
1768/11/6,-19.05,-35.833,,,
1768/11/7,-19.767,-36.833,,,
1768/11/8,-21.267,-37.583,,,
1768/11/9, None , None,,,
1768/11/10,-21.5,-37.717,,,
1768/11/11,-23.617,-37.817,,,
1768/11/12, None , None,,,
1768/11/13, None , None,Rio De Janeiro,,
1768/11/15, None , None,,,
1768/12/3, None , None,,,
1768/12/4, None , None,,,
1768/12/5, None , None,,,
1768/12/6, None , None,,,
1768/12/7, None , None,,,
1768/12/8,-24.283,-42.483,,,
1768/12/9,-24.767,-42.267,,,
1768/12/10,-25.567,-41.2,,,
1768/12/11,-25.717,-41.133,,,
1768/12/12,-26.233,-41.383,,,
1768/12/13,-28,-42.1,,,
1768/12/14,-29.4,-41.917,,,
1768/12/15,-30.133,-41.65,,,
1768/12/16,-31.35,-42.533,,,
1768/12/17,-32.25,-42.8,,,
1768/12/18,-32.7,-43.45,,,
1768/12/19,-34.067,-45.1,,,
1768/12/20,-36.033,-47.233,,,
1768/12/21,-37.133,-48.5,,,
1768/12/22,-37.133,-49.017,,,
1768/12/23,-36.767,-49.533,,,
1768/12/24,-37.183,-50.533,,,
1768/12/25,-38.617,-52.083,,,
1768/12/26,-40.317,-54.5,,,
1768/12/27,-41.633,-56.25,,,
1768/12/28,-40.817,-58.483,,,
1768/12/29,-41.75,-59.617,,,
1768/12/30,-42.533,-60.25,,,
1768/12/31,-43.233,-60.433,,,
1769/1/1,-43.583,-61.133,,,
1769/1/2,-45.283,-61.117,,,
1769/1/3,-47.283,-61.483,,,
1769/1/4,-48.467,-60.85,,,
1769/1/5,-49.817,-62.117,,,
1769/1/6,-51.333,-62.317,,,
1769/1/7,-51.433,-61.983,,,
1769/1/8,-51.267,-62.833,,,
